Name,Population
New York City,8491079
Los Angeles,3928864
Chicago,2722389
Houston,2239558
Philadelphia,1560297
Phoenix,1537058
San Antonio,1436697
San Diego,1381069
Dallas,1281047
San Jose,1015785
Austin,912791
Indianapolis,858325
Jacksonville,853382
San Francisco,852469
Columbus,835957
Fort Worth,812238
Charlotte,809958
Detroit,680250
El Paso,679036
Nashville,668347
Seattle,668342
Denver,663862
Washington,658893
Memphis,656861
Boston,655884
Baltimore,622793
Oklahoma City,620602
Portland,619360
Las Vegas,613599
Milwaukee,599642
Louisville,597337
Albuquerque,557169
Tucson,527972
Fresno,515986
Sacramento,485199
Long Beach,473577
Kansas City,470800
Mesa,464704
Atlanta,456002
Virginia Beach,450980
Omaha,446599
Colorado Springs,445830
Raleigh,439896
Miami,430332
Oakland,413775
Minneapolis,407207
Tulsa,399682
Cleveland,389521
Wichita,388413
New Orleans,384320
Arlington,383204
Honolulu,374701
Bakersfield,368759
Tampa,358699
Aurora,353108
Anaheim,346997
Santa Ana,334909
Corpus Christi,320434
Riverside,319504
Saint Louis,317419
Lexington,310797
Pittsburgh,305412
Oyster Bay,302564
Stockton,302389
Anchorage,301010
Cincinnati,298165
Saint Paul,297640
Greensboro,282586
Toledo,281031
Newark,280579
Plano,278480
Henderson,277440
Lincoln,272996
Orlando,262372
Jersey City,262146
Chula Vista,260988
Buffalo,258703
Fort Wayne,258522
Chandler,254276
Saint Petersburg,253693
Laredo,252309
Durham,251893
Irvine,248531
Madison,245691
Norfolk,245428
Lubbock,243839
Gilbert,239277
Winstonâ€êSalem,239269
Glendale,237517
Reno,236995
Hialeah,235563
Garland,235501
Chesapeake,233371
Irving,232406
North Las Vegas,230788
Scottsdale,230512
North Hempstead,229637
Baton Rouge,228895
Fremont,228758
Paradise,223167
Richmond,217853
Boise,216282
San Bernardino,215213
Birmingham,212247
Spokane,212052
Modesto,209286
Des Moines,209220
Arlington,207627
Rochester,207294
Oxnard,205437
Tacoma,205159
Fontana,204950
Fayetteville,203948
Moreno Valley,202976
Augusta,201368
Columbus,200887
Huntington Beach,200809
Yonkers,200667
Montgomery,200481
Aurora,200456
Glendale,200167
Shreveport,198242
Akron,197859
Little Rock,197706
Amarillo,197254
Mobile,194675
Grand Rapids,193792
Salt Lake City,190884
Sunrise Manor,189372
Huntsville,188226
Tallahassee,188107
Grand Prairie,185453
Overland Park,184525
Knoxville,184281
Brownsville,183046
Worcester,183016
Newport News,182965
Santa Clarita,181557
Providence,179154
Spring Valley,178395
Fort Lauderdale,176013
Garden Grove,175078
Oceanside,174558
Rancho Cucamonga,174305
Santa Rosa,174170
Port Saint Lucie,174110
Chattanooga,173778
Tempe,172816
Jackson,171155
Cape Coral,169854
Vancouver,169294
Ontario,169089
Sioux Falls,168586
Peoria,166934
Springfield,165378
Pembroke Pines,164626
Elk Grove,163553
Salem,161637
Corona,161486
Lancaster,161043
Eugene,160561
Palmdale,158279
McKinney,156767
Salinas,156677
Fort Collins,156480
Cary,155227
Hayward,154612
Springfield,153991
Pasadena,153887
Pomona,153350
Alexandria,150575
Escondido,150243
Sunnyvale,149980
Lakewood,149643
Kansas City,149636
Rockford,149123
Torrance,148495
Hollywood,148047
Joliet,147928
Bridgeport,147612
Clarksville,146806
Paterson,146753
Naperville,146128
Frisco,145035
Mesquite,144416
Savannah,144352
Syracuse,144263
Dayton,141003
Pasadena,140881
Orange,139812
Fullerton,139677
McAllen,138596
Metairie,138481
Killeen,138154
Hampton,136879
Bellevue,136426
Warren,135099
Miramar,134989
West Valley City,134495
Ramapo,133351
Olathe,133062
Columbia,132067
Sterling Heights,131741
Thornton,130307
New Haven,130282
Waco,130194
Charleston,130113
Thousand Oaks,129342
Visalia,129281
Cedar Rapids,129195
Elizabeth,128705
Roseville,128615
Gainesville,128460
Carrollton,128353
Stamford,128278
Denton,128205
Midland,128037
Coral Springs,127952
Concord,127522
Topeka,127215
Simi Valley,126871
East Los Angeles,126496
Surprise,126275
Lafayette,126066
Kent,125560
Amherst,124837
Hartford,124705
Santa Clara,122192
Victorville,121901
Abilene,120958
Murfreesboro,120954
Athens,120938
Evansville,120346
Vallejo,120228
Allentown,119104
Berkeley,118853
Norman,118040
Ann Arbor,117770
Beaumont,117585
Independence,117494
Columbia,116906
Springfield,116809
El Monte,116631
Fargo,115863
Peoria,115828
Provo,114801
Lansing,114620
Odessa,114597
Downey,114172
Wilmington,113657
Arvada,113574
Costa Mesa,112784
Round Rock,112744
Carlsbad,112299
Westminster,112090
Inglewood,111905
Rochester,111402
Fairfield,111125
Elgin,111117
West Jordan,110920
Clearwater,110703
Manchester,110448
Lowell,109945
Gresham,109892
Cambridge,109694
San Buenaventura (Ventura),109484
Temecula,109428
Waterbury,109307
Antioch,108930
Billings,108869
High Point,108629
Richardson,108617
Richmond,108565
Enterprise,108481
West Covina,108455
Pueblo,108423
Murrieta,108368
Centennial,107201
Norwalk,107096
North Charleston,106749
Everett,106736
Pompano Beach,106105
Daly City,106094
Palm Bay,105838
Burbank,105368
Wichita Falls,105114
Boulder,105112
Green Bay,104891
Broken Arrow,104726
West Palm Beach,104031
Brandon,103483
College Station,103483
Pearland,103441
Santa Maria,103410
El Cajon,103091
San Mateo,102893
Lewisville,102889
Rialto,102741
Davenport,102448
Lakeland,102346
Clovis,102189
Edison,101970
Sandy Springs,101908
Tyler,101421
Las Cruces,101408
South Bend,101190
